N;Beg;Mid;End;False
41400;408.540000;403.900000;211.410000;507.990000;
41500;681.260000;206.030000;295.430000;241.130000;
41600;301.440000;446.150000;306.300000;239.860000;
41700;247.900000;198.940000;293.070000;223.730000;
41800;251.670000;197.400000;287.780000;215.980000;
41900;217.880000;187.820000;185.380000;207.560000;
42000;233.280000;187.120000;211.070000;258.090000;
42100;207.270000;185.570000;182.900000;205.730000;
42200;204.190000;186.660000;210.790000;230.430000;
42300;204.300000;188.250000;187.240000;215.580000;
42400;271.620000;203.340000;213.620000;240.360000;
42500;384.160000;202.260000;184.040000;291.260000;
42600;304.400000;205.960000;211.010000;395.060000;
42700;560.540000;436.890000;179.130000;518.570000;
42800;397.530000;182.800000;300.140000;264.170000;
42900;240.540000;187.030000;235.810000;221.210000;
43000;215.530000;225.900000;241.660000;236.640000;
43100;200.470000;183.850000;178.190000;206.320000;
43200;199.950000;181.340000;207.400000;202.640000;
43300;187.500000;178.430000;176.750000;217.980000;
43400;196.740000;177.890000;203.640000;214.780000;
43500;410.670000;236.940000;255.330000;539.630000;
43600;368.280000;205.870000;215.060000;228.230000;
43700;408.130000;212.990000;254.050000;219.500000;
43800;277.180000;205.350000;223.250000;223.730000;
43900;267.430000;229.600000;215.660000;874.570000;
44000;347.190000;242.530000;239.110000;235.250000;
44100;230.280000;219.170000;527.970000;236.730000;
44200;223.250000;202.420000;220.830000;225.160000;
44300;205.710000;193.000000;190.460000;237.650000;
44400;246.560000;224.200000;231.160000;214.960000;
44500;211.960000;232.130000;203.810000;212.080000;
44600;367.450000;237.750000;231.150000;227.150000;
44700;434.310000;219.130000;367.550000;231.140000;
44800;653.690000;288.710000;263.650000;475.130000;
44900;279.670000;240.360000;212.410000;244.780000;
45000;308.270000;239.380000;234.940000;301.060000;
45100;251.950000;209.040000;197.850000;216.390000;
45200;225.650000;422.710000;230.730000;230.020000;
45300;236.990000;210.000000;196.860000;213.570000;
45400;218.680000;244.850000;261.340000;450.800000;
45500;212.570000;222.890000;217.960000;228.930000;
45600;354.540000;237.320000;236.640000;570.660000;
45700;305.680000;219.790000;200.840000;214.930000;
45800;618.810000;434.810000;511.660000;228.660000;
45900;271.830000;225.050000;469.650000;217.420000;
46000;241.550000;214.050000;414.500000;208.780000;
46100;257.700000;300.020000;203.500000;210.700000;
46200;229.720000;208.220000;233.830000;210.870000;
46300;210.280000;204.970000;203.470000;210.180000;
46400;199.400000;203.380000;229.030000;208.490000;
46500;216.990000;201.240000;199.810000;256.880000;
46600;756.020000;228.180000;554.700000;227.660000;
46700;271.180000;403.240000;204.370000;229.480000;
46800;350.620000;294.620000;502.950000;217.330000;
46900;359.550000;419.190000;209.140000;215.230000;
47000;563.320000;347.960000;232.860000;259.390000;
47100;243.800000;223.390000;213.780000;207.450000;
47200;231.300000;263.870000;233.570000;230.480000;
47300;216.990000;200.220000;199.900000;205.140000;
47400;211.440000;202.970000;229.270000;246.650000;
47500;230.170000;202.260000;200.150000;242.610000;
47600;322.760000;238.730000;250.660000;239.820000;
47700;296.390000;340.730000;221.420000;289.690000;
47800;320.860000;215.940000;232.540000;591.150000;
47900;353.870000;281.480000;200.680000;231.250000;
48000;663.390000;283.650000;232.030000;222.670000;
48100;360.260000;296.490000;211.890000;214.480000;
48200;221.530000;209.420000;226.530000;203.260000;
48300;217.570000;198.330000;194.720000;199.960000;
48400;211.170000;196.180000;222.860000;200.440000;
48500;220.050000;218.010000;212.460000;203.330000;
48600;440.630000;283.750000;230.180000;213.000000;
48700;384.360000;234.600000;188.090000;204.900000;
48800;425.620000;236.190000;564.090000;230.970000;
48900;371.650000;228.010000;382.410000;652.980000;
49000;303.270000;295.540000;237.210000;813.310000;
49100;256.260000;253.050000;204.070000;234.680000;
